Designator,Mid X,Mid Y,Rotation,Layer
BT1,215.75,-181.5,0.0,top
C1,184.208137,-147.018023,0.0,top
C10,160.695454,-119.122998,270.0,bottom
C11,171.195454,-124.52,90.0,top
C12,173.195454,-124.52,90.0,top
C13,175.195454,-124.52,90.0,top
C14,172.195454,-124.52,90.0,top
C15,174.195454,-124.52,90.0,top
C16,236.892604,-154.85265,90.0,top
C17,229.968588,-161.806023,180.0,top
C18,168.195454,-125.59,270.0,top
C19,170.195454,-119.192998,90.0,bottom
C2,254.339954,-131.5625,270.0,top
C20,171.195454,-119.192998,90.0,bottom
C21,169.195454,-125.59,270.0,top
C22,170.195454,-124.52,270.0,top
C23,167.195454,-125.59,270.0,top
C24,148.302,-210.0,180.0,top
C25,168.302,-210.0,180.0,top
C26,188.302,-210.0,180.0,top
C27,148.302,-230.0,180.0,top
C28,168.302,-230.0,180.0,top
C29,188.302,-230.0,180.0,top
C3,228.492604,-127.60265,270.0,top
C30,107.088,-171.0854,270.0,top
C31,87.088,-171.0854,90.0,top
C32,191.438137,-141.768023,270.0,top
C33,67.088,-171.0854,270.0,top
C34,191.438137,-144.268023,0.0,top
C35,65.988,-154.3746,270.0,top
C36,203.839954,-147.725,0.0,top
C37,148.302,-250.0,180.0,top
C38,168.302,-250.0,180.0,top
C39,188.302,-250.0,180.0,top
C4,217.248954,-166.88,0.0,top
C40,85.988,-154.3746,90.0,top
C41,189.458137,-141.9,270.0,top
C42,166.695454,-119.222998,90.0,bottom
C43,105.988,-154.3746,270.0,top
C44,191.438137,-145.268023,180.0,top
C45,176.195454,-119.222998,90.0,bottom
C46,107.088,-131.0854,270.0,top
C47,186.708137,-142.768023,270.0,top
C48,203.239954,-161.22,0.0,top
C49,87.088,-131.0854,90.0,top
C5,187.941954,-40.938,180.0,top
C50,67.088,-131.0854,270.0,top
C6,147.941954,-40.938,180.0,top
C7,167.941954,-40.938,180.0,top
D1,239.792604,-152.45265,90.0,top
D10,108.523,-152.015,180.0,bottom
D11,104.553,-133.445,0.0,bottom
D12,84.553,-133.445,0.0,bottom
D13,64.553,-133.445,0.0,bottom
D2,221.820954,-166.88,0.0,top
D3,283.009954,-119.95,270.0,top
D4,284.329954,-130.55,270.0,top
D5,104.553,-173.445,0.0,bottom
D6,84.553,-173.445,0.0,bottom
D7,64.553,-173.445,0.0,bottom
D8,68.523,-152.015,180.0,bottom
D9,88.523,-152.015,180.0,bottom
J1,168.445454,-120.742998,180.0,top
L1,279.259954,-118.7,0.0,top
M1,280.579954,-129.3,0.0,top
Q1,275.122454,-121.2,0.0,top
Q3,276.442454,-131.8,0.0,top
Q4,260.879954,-128.5,180.0,bottom
R1,177.929908,-148.55,180.0,bottom
R15,273.984954,-117.75,90.0,top
R16,271.734954,-121.1875,90.0,top
R17,275.304954,-128.35,90.0,top
R18,273.054954,-131.7875,90.0,top
R19,190.735954,-40.938,180.0,top
R2,177.879908,-140.9,180.0,bottom
R20,258.339954,-131.5625,90.0,top
R21,151.096,-210.0,180.0,top
R22,151.096,-212.54,0.0,top
R23,171.096,-210.0,180.0,top
R24,171.096,-212.54,0.0,top
R25,191.096,-210.0,180.0,top
R26,191.0932,-212.54,0.0,top
R27,190.733154,-43.478,0.0,top
R28,256.339954,-131.5625,90.0,top
R29,203.139954,-142.625,0.0,top
R3,150.735954,-40.938,180.0,top
R30,151.096,-230.0,180.0,top
R31,151.096,-232.54,0.0,top
R32,171.096,-230.0,180.0,top
R33,171.096,-232.54,0.0,top
R34,191.096,-230.0,180.0,top
R35,191.096,-232.54,0.0,top
R36,202.839954,-153.568023,0.0,top
R37,151.096,-250.0,180.0,top
R38,151.096,-252.54,0.0,top
R39,171.096,-250.0,180.0,top
R4,170.735954,-40.938,180.0,top
R40,171.096,-252.54,0.0,top
R41,191.096,-250.0,180.0,top
R42,191.096,-252.54,0.0,top
R5,150.735954,-43.478,0.0,top
R6,170.735954,-43.478,0.0,top
RV1,179.739954,-127.34,0.0,top
SW1,147.139954,-38.0,270.0,bottom
SW10,167.5,-247.062,270.0,bottom
SW11,187.5,-247.062,270.0,bottom
SW12,187.139954,-38.0,270.0,bottom
SW2,167.139954,-38.0,270.0,bottom
SW3,147.5,-207.062,270.0,bottom
SW4,167.5,-207.062,270.0,bottom
SW5,187.5,-207.062,270.0,bottom
SW6,147.5,-227.062,270.0,bottom
SW7,167.5,-227.062,270.0,bottom
SW8,187.5,-227.062,270.0,bottom
SW9,147.5,-247.062,270.0,bottom
U1,263.735154,-146.1482,270.0,top
U2,238.139304,-129.85285,180.0,top
U3,223.598954,-161.8,0.0,top
U4,168.539954,-158.4,180.0,top
U5,185.747931,-145.181977,270.0,top
U6,206.939954,-147.725,180.0,top
U7,188.708137,-144.768023,90.0,top
U8,206.739954,-161.2,180.0,top
